timestamp,open,high,low,close,volume
2020-12-05 00:00:00,41975.76,42390.9,41505.12,42312.46,81189.67645
2020-12-05 01:00:00,42313.2,42490.8,41968.36,41980.939999999995,34147.7083
2020-12-05 02:00:00,41980.939999999995,42629.920000000006,41977.979999999996,42509.3,33823.56038
2020-12-05 03:00:00,42510.04,42798.64,42395.34,42616.6,28618.37318
2020-12-05 04:00:00,42624.0,42967.36,42569.979999999996,42847.479999999996,24983.26228
2020-12-05 05:00:00,42847.479999999996,43433.560000000005,42772.74,43250.04,36328.07107
2020-12-05 06:00:00,43252.26,43512.0,43154.579999999994,43494.979999999996,25969.05017
2020-12-05 07:00:00,43492.020000000004,43586.0,43221.18,43290.74,24685.81583
2020-12-05 08:00:00,43290.0,44067.0,43290.0,44051.46,47625.93788
2020-12-05 09:00:00,44050.72,44186.14,43734.74,43895.32,28328.1577
2020-12-05 10:00:00,43895.32,44022.6,43675.54,43874.6,21055.60005
2020-12-05 11:00:00,43874.6,43912.34,43463.9,43620.04,26884.2894
2020-12-05 12:00:00,43623.74,43827.24,43569.72,43765.82,20046.84332
2020-12-05 13:00:00,43763.6,43810.22,43208.6,43396.560000000005,31275.86989
2020-12-05 14:00:00,43396.560000000005,43802.079999999994,43390.64,43736.22,28288.23369
2020-12-05 15:00:00,43736.96,44017.420000000006,43697.0,43845.0,42760.09878
2020-12-05 16:00:00,43839.82,44104.0,43610.420000000006,43933.8,35810.78995
2020-12-05 17:00:00,43933.8,44000.4,43742.14,43999.66,20698.05098
2020-12-05 18:00:00,44000.4,44030.74,43799.86,43897.54,19565.86311
2020-12-05 19:00:00,43897.54,44104.0,43837.6,44012.979999999996,19466.34813
2020-12-05 20:00:00,44014.46,44059.6,43697.0,43805.04,19973.94381
2020-12-05 21:00:00,43806.520000000004,44059.6,43773.96,43807.26,19420.07619
2020-12-05 22:00:00,43807.26,43863.5,43697.0,43762.86,9483.34596
2020-12-05 23:00:00,43763.6,44185.4,43735.479999999996,44163.2,21138.98914
2020-12-06 00:00:00,44164.68,44829.2,44164.68,44777.4,56021.90654
2020-12-06 01:00:00,44778.14,44955.0,44599.8,44666.4,29316.19628
