timestamp,open,high,low,close,volume
2020-12-05 00:00:00,1380137.74,1390573.22,1369000.0,1388553.02,4398.592542
2020-12-05 01:00:00,1388553.02,1392667.4200000002,1378953.0,1379721.8599999999,2253.931869
2020-12-05 02:00:00,1379721.12,1394797.88,1379441.4,1390434.84,2388.321713
2020-12-05 03:00:00,1390434.1,1397120.0,1386637.16,1392594.9,2317.888684
2020-12-05 04:00:00,1392535.7,1400968.0,1391200.0,1395928.6,1551.894666
2020-12-05 05:00:00,1395928.6,1403780.0,1394211.0599999998,1402627.0799999998,1647.778313
2020-12-05 06:00:00,1402731.4200000002,1405265.9200000002,1399055.84,1403264.22,1590.750531
2020-12-05 07:00:00,1403264.22,1405009.1400000001,1398600.0,1399436.9400000002,1514.204824
2020-12-05 08:00:00,1399436.2,1419098.0,1399436.2,1417092.6,3390.549236
2020-12-05 09:00:00,1417092.6,1418210.0,1409925.7,1414171.0799999998,1671.420619
2020-12-05 10:00:00,1414171.0799999998,1416158.72,1408775.0,1414471.52,1404.535637
2020-12-05 11:00:00,1414471.52,1415432.04,1402968.22,1406993.82,2031.724234
2020-12-05 12:00:00,1406993.82,1411920.74,1403443.3,1410440.74,1505.479033
2020-12-05 13:00:00,1410459.98,1411172.6,1401688.76,1404751.62,1663.18758
2020-12-05 14:00:00,1404710.18,1412810.22,1403323.4200000002,1411920.74,2031.09956
2020-12-05 15:00:00,1411920.74,1417100.0,1409774.0,1414197.72,1878.881403
2020-12-05 16:00:00,1414223.62,1417094.0799999998,1409276.72,1413326.0,1712.332099
2020-12-05 17:00:00,1413325.26,1415306.24,1407924.0,1415306.24,1130.566015
2020-12-05 18:00:00,1415306.98,1416360.0,1412290.0,1414606.2,1113.481955
2020-12-05 19:00:00,1414632.1,1418755.38,1411572.2,1414820.0599999998,1273.081414
2020-12-05 20:00:00,1414820.0599999998,1416360.0,1405550.0799999998,1410062.6,1291.846074
2020-12-05 21:00:00,1410087.76,1414140.0,1406000.0,1406520.96,1050.880547
2020-12-05 22:00:00,1406520.96,1409860.5799999998,1404309.84,1407517.0,772.952693
2020-12-05 23:00:00,1407523.66,1417656.48,1407485.9200000002,1416926.84,1337.367332
2020-12-06 00:00:00,1416926.84,1426498.0,1415695.48,1425891.9400000002,2729.198654
2020-12-06 01:00:00,1425891.9400000002,1431308.0,1422872.0,1425352.48,2377.439344
