volume_lag_1,volume_lag_6,volume_lag_12,volume_lag_24,volume_lag_48,return_6h,return_12h,return_24h,momentum_6h,momentum_12h,momentum_24h,roc_24h,volume_std_6h,volume_std_12h,volume_std_24h,volume_mean_24h,volume_change_24h,sma_7,sma_14,sma_30,macd,bb_width,rsi_14,price_range,atr_14,vpt
0.0007711366792664873,0.00027193840914976756,0.0008233598745177845,0.0015334205392087226,0.0018204969049272575,0.18405698382304567,0.1094318495550748,0.059613027751629924,0.4745920465374912,0.5247430437253516,0.4443305261251722,0.05961302870514671,0.0006686079445232486,0.0011623406864424402,0.0006808508684690884,0.0009606479302097889,0.0004120339207349575,0.000602474771977829,0.0005813759217078712,0.0005569059511541841,0.38826061041427934,0.00025263693916659935,0.47166739643938654,2.9323131868590012e-05,0.00015464895823707884,0.00010596040052565063
0.00017211350489995,0.0003272969491805446,0.0008665191828931205,0.0006025001412381113,0.00047108740833100385,0.18283383650095003,0.10903016036912509,0.059378941235456235,0.47454506106572103,0.5247279367404367,0.4443125582639841,0.05937894219416768,0.0006603762356387013,0.0011476516264118375,0.000694965918997579,0.0009383935630362017,0.001682977092782072,0.0005994428535196153,0.0005802859123294133,0.0005558593442767324,0.38825237854201033,0.00025479756975866496,0.47135688852499236,7.951079987444579e-05,0.00013766100449133772,0.00010579356460113847
0.0003739230453762676,0.00018073916720448782,0.0009379437462757245,0.0004833992662624814,0.0008404669192851972,0.1825535994376628,0.10526756366529942,0.059673318669222174,0.4745346198497722,0.5245848323924249,0.44433534677085684,0.05967331962150193,0.0005727171304690796,0.0010834833714667195,0.0006925628070394503,0.0009431160713806009,0.002687528546713528,0.0005904473268543327,0.0005811629313695521,0.0005556254656448991,0.38823310579408743,0.0002670836422987592,0.525690224479801,7.951079987445002e-05,0.00010192772247443851,0.00010458152468605973
0.0005319046779925104,0.0003922132242480957,0.001532174294986948,0.0006996832205127721,0.0004789898326308832,0.18173369199772926,0.1052043461475904,0.059556985643419075,0.4745032962019254,0.524582635012801,0.4443265819605212,0.059556986598366446,0.000651361264187552,0.0005764298958483263,0.0007038828202333857,0.000956513445633605,0.0029080143162942707,0.0005820782296225661,0.0005806116622586072,0.0005543332862040247,0.3882103058156534,0.00022159859822370255,0.48445682522896427,5.187938715212909e-05,7.990196175582539e-05,0.00010348179044100602
0.0008372891508472222,0.0007488614346906106,0.0005408504878747028,0.0003513347457229181,0.0005472212604917846,0.1844832609722896,0.10529605222645544,0.05937560183992247,0.4746084541625537,0.524585931082237,0.4443125582639841,0.05937560279884135,0.000761535863279932,0.0007189379390061118,0.0007140759727124791,0.0010159101377093841,0.0057776701807803746,0.0005758139352874121,0.0005763017401184977,0.0005525850434310745,0.3882005450056627,0.00023029006474845586,0.34587228791013425,6.033798288344699e-05,4.5105946152483885e-05,0.00010472832895973278
0.0009614048174792338,0.0007711366792664873,0.0005069015133698244,0.0005348251462849982,0.0005887553355847008,0.18461207195098686,0.10600211772186102,0.05994201722621121,0.47461330186995865,0.5246128489826307,0.4443557249548873,0.05994201817239986,0.0007428662017222481,0.0007380242434880505,0.0007120548893897818,0.0010314120460109635,0.0030997058458510085,0.0005774426518145522,0.0005744098847604842,0.0005520061938172893,0.38820416436040894,0.00023096319834296121,0.4347379405092689,0.00010037533601171368,5.1783969349084354e-05,0.00010602910836536761
0.0006940469813636014,0.00017211350489995,0.00027193840914976756,0.00025006809379723814,0.0005784064584211565,0.18351608873562766,0.10596088106265397,0.05952445354680529,0.47457153700616295,0.5246114756203657,0.4443239525174205,0.059524454502404955,0.0005367805747728057,0.0006977521718273576,0.0006757469623797358,0.0010573563249892102,0.004324246533196345,0.0005738093611001625,0.000570287895271834,0.0005499129800623873,0.3881975942351416,0.00023505931893691572,0.36187503989576947,8.796939560577004e-05,4.686332067790476e-05,0.00010511313427082583
0.0005165446867652711,0.0003739230453762676,0.0003272969491805446,0.0009629363378194355,0.0004523301751879389,0.18456289061861805,0.10582953791349776,0.0584839461391573,0.4746114373671106,0.5246062568437588,0.4442430971420739,0.0584839471173387,0.0005566563126540644,0.0006929957604887715,0.0006714102432461822,0.000997303751887778,0.0010471244592595336,0.0005720804158636607,0.0005669552229193063,0.0005479659404523787,0.3882005089495913,0.0002345441555198364,0.3939334679052234,1.973672337309061e-05,4.147403879994543e-05,0.00010563140523072317
0.0003461296386449891,0.0005319046779925104,0.00018073916720448782,0.0006395277861923123,0.0011028141667075186,0.18564279202656783,0.10641493772917592,0.05990129082947652,0.47465245642976706,0.5246287799849045,0.4443526572712698,0.05990129177659943,0.0005802131022809662,0.0006079929526178335,0.0006781268557290237,0.0009801586915741815,0.0018971729684209252,0.0005703013562724763,0.0005645496849806408,0.0005472701515226769,0.38820073724797416,0.00022271076903393575,0.41863737405249746,4.511251056706123e-05,3.409306579317603e-05,0.00010541763747207468
0.00046342895290312186,0.0008372891508472222,0.0003922132242480957,0.001049293372279426,0.00100326797144633,0.18609787160342428,0.10614080908990128,0.05975990856438055,0.4746696098559689,0.5246183424316906,0.44434192037860865,0.05975990951470087,0.0006284289577761368,0.000647078019454458,0.0006563752920906744,0.0009038510476820356,0.0007939533904764117,0.0005710029572380134,0.0005604026378051283,0.00054660944438775,0.38819784051682565,0.0002161810862301764,0.35182932937535366,6.146579564762215e-05,3.1515583155889415e-05,0.00010521998659602413
0.0002655290218094733,0.0009614048174792338,0.0007488614346906106,0.0007547713261384656,0.0007920347967237144,0.18556412634477193,0.10778583483266711,0.059659900612445214,0.4746494732252102,0.5246809677509742,0.44433425116956493,0.05965990156498826,0.0005214716542359672,0.000673634770489063,0.0006654932163130298,0.0009119919237131828,0.0027251419247955634,0.00057456107642038,0.0005579970998664622,0.0005452587952889166,0.38819881956114544,0.00020745830433449371,0.4075070412897541,5.075157438794336e-05,3.221853296605791e-05,0.00010561287642024682
0.000838387174949455,0.0006940469813636014,0.0007711366792664873,0.0003005075252527909,0.0010886544497934678,0.18384729488592214,0.10661380279412536,0.0595614609496802,0.4745842156255295,0.5246364708135884,0.4443268010807796,0.05956146190446292,0.001130435958923572,0.0010299611628345844,0.0008087740258066717,0.001022681490220865,0.009377555664614375,0.00057456107642038,0.0005548648890088243,0.0005440367794375907,0.38819468253722506,0.00020801003985823158,0.3859422598915292,6.3157514793887e-05,2.9641050328773077e-05,0.00010437591922220363
0.0014374124507975277,0.0005165446867652711,0.00017211350489995,0.0008233598745177845,0.0011024242762114088,0.18763807061276586,0.10859575114728484,0.06122563827802069,0.47472815524539663,0.5247117310657099,0.4444525761090965,0.06122563919484642,0.0014313778046228585,0.00120005799024155,0.0009575365400847524,0.0010872232112425024,0.004257832988742462,0.0005786453963269017,0.0005577214653109903,0.0005442238823430569,0.3882178550557398,0.0002011340747984978,0.5967646354188494,0.00012687893596986368,1.944827808132828e-05,0.00011054628606547613
0.0014862751143885702,0.0003461296386449891,0.0003739230453762676,0.0008665191828931205,0.0005791724484408002,0.18672948862148944,0.10870495172098338,0.06110847045953338,0.4746938483929931,0.5247158511525049,0.4444438112987608,0.06110847137907963,0.0014892537575758211,0.0012465156192588151,0.000985529156638577,0.0010253788625589834,0.0008585788994479295,0.0005851352052581217,0.0005591497534620734,0.0005417155340166507,0.38823532996392257,0.00018997941565519194,0.5525734059383468,2.086453613726788e-05,0.0,0.00011049927791394374
0.00023130895618653176,0.00046342895290312186,0.0005319046779925104,0.0009379437462757245,0.00033790076232284897,0.1846306825026345,0.10795305279964319,0.059302228820449644,0.47461404767109777,0.524687285217393,0.4443068611372659,0.059302229780962674,0.001449472772885061,0.001236794726725917,0.0009661071770149587,0.0009943560819846988,0.0017239013609595176,0.0005835315459083215,0.0005574834172858102,0.0005408794179078495,0.38822677038407233,0.00018586151488549682,0.4495765886003657,0.00010996174450721308,1.6753637142349267e-05,0.00010808748611370553
0.0006193052950487079,0.0002655290218094733,0.0008372891508472222,0.001532174294986948,0.0009692583166621178,0.1847088737822911,0.10834700101223707,0.05943269069499736,0.47461703087565466,0.524702117529855,0.44431694066915195,0.05943269165264969,0.0013330202794857875,0.0012448979841788526,0.0007742595066287424,0.0008957233876078398,0.0009408148626136349,0.0005818527150265008,0.0005557544368923937,0.0005398035762014182,0.38821743202443,0.00016560507381682902,0.4478788160754551,5.6954544590915173e-05,1.2067305074559358e-05,0.00010782651330644602
